GeneSymbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
FN1	-0.9689332621	7.4319286228	-3.7256826397	0.0009043866	0.0938973273	-0.6160592688
OTTHUMG00000172467	0.9260466141	3.8463079188	3.7158196322	0.0009280063	0.0950649603	-0.6390702304
DCC	0.9701727119	3.3947454758	3.6933565599	0.0009840725	0.0991023087	-0.6914166592
CDH17	1.354965342	2.9809564493	3.6886726312	0.0009961734	0.0991023087	-0.702320893
ZNF280A	0.8357551988	3.3720048518	3.6848659541	0.0010061148	0.0991023087	-0.711180077
MAGEA2	0.7610738135	6.3402966182	3.6664721161	0.0010555329	0.101859781	-0.7539518516
PARVA	1.12956655	4.8180415473	3.6632773485	0.0010643544	0.101859781	-0.7613746491
TMEM136	0.7888585657	6.6488432243	3.6535976454	0.0010915235	0.101859781	-0.7838535453
RNA5SP348	-0.9976136452	3.9534220513	-3.651621097	0.0010971539	0.101859781	-0.7884415533
MAGEA2	0.734758144	6.0051840143	3.6504865839	0.0011003985	0.101859781	-0.7910746912
BCL6B	0.9355464049	4.1820987981	3.6456618944	0.0011143014	0.1019187814	-0.8022699023
SPATA13	-0.6796389386	3.8858035713	-3.6183963924	0.0011961484	0.1081177418	-0.865456397
AFAP1-AS1	0.9338855991	6.2425074313	3.6084530553	0.0012274313	0.1096552906	-0.8884650691
LTBR	0.9091023872	6.1046373336	3.5974832897	0.0012628684	0.1115243448	-0.9138270718
NID1	-0.8588983576	5.1976609891	-3.5809882507	0.0013180371	0.1150736229	-0.9519198031
TNC	0.9240264447	3.3616453801	3.5561385399	0.0014056026	0.1213398309	-1.0092054341
MYO5C	-0.785280401	4.0670609628	-3.5388534709	0.0014698221	0.1254738106	-1.0489793527
SCG5	0.8441951842	4.2614977186	3.5303856148	0.001502315	0.1266276404	-1.068442091
SSX2	0.7727957618	3.8810249526	3.5247541336	0.0015243095	0.1266276404	-1.081377431
ANK2	0.7384087787	7.0268687965	3.5226056615	0.0015327828	0.1266276404	-1.0863106693
DGCR11	-0.976830081	3.4000026529	-3.5119115189	0.0015756448	0.1287838155	-1.1108517861
LOC283352	1.2033021867	3.0390102376	3.5036450435	0.0016095721	0.1295491535	-1.1298053393
POTEF	1.2292817818	4.14106997	3.4999422606	0.0016249982	0.1295491535	-1.138290455
ERAP1	0.6555040449	4.1863361783	3.4950014993	0.0016458054	0.1295491535	-1.1496079019
SNORA80	0.873177553	6.0675335867	3.4915607219	0.0016604483	0.1295491535	-1.1574863514
LGALS3BP	0.8102299116	5.6792913237	3.4894909208	0.0016693175	0.1295491535	-1.1622244087
GPM6A	-0.7018643094	4.3315109736	-3.459034746	0.0018052612	0.1386982164	-1.2318348432
SCN9A	0.8941890424	4.1496868015	3.4477646701	0.0018582387	0.1412092957	-1.2575416661
IGHV3-35	0.8588833353	3.6668274627	3.444325403	0.0018747037	0.1412092957	-1.2653808892
GEM	1.0208201457	3.7670984984	3.4380231423	0.0019052424	0.1421162837	-1.2797388795
GGTLC2	-0.8158933087	3.7030566965	-3.4300506575	0.0019445655	0.1434256211	-1.2978890836
MIR3620	-0.775864914	3.8203478804	-3.4245556636	0.0019721252	0.1434256211	-1.3103905496
ID2	-0.7712501449	5.2773767537	-3.4232361215	0.0019787994	0.1434256211	-1.3133915591
PAGE1	1.1992124253	5.5835748709	3.4084260391	0.0020552242	0.1475727809	-1.3470461853
SPRED1	0.6985324864	5.860896009	3.395967628	0.0021217191	0.1501417363	-1.3753171341
IGFL2	0.8144815758	3.1594555118	3.3944268774	0.0021300858	0.1501417363	-1.3788109005
BEST1	0.7847043106	3.5406172916	3.3881427058	0.0021645425	0.1511456697	-1.393054887
LOC100289361	0.6595326407	4.2120991703	3.3846951261	0.0021836743	0.1511456697	-1.400865328
HIST1H2BD	0.6281276086	6.0415888387	3.3713592367	0.0022592307	0.1549791914	-1.431050716
CEP57L1	-0.730547149	5.4699018748	-3.3629157263	0.0023083685	0.1569486309	-1.4501400934
SLC13A3	0.8597457898	4.7876411329	3.3380040997	0.0024594359	0.1657530358	-1.5063590933
CACNG4	0.7505480804	8.3838758217	3.3336663946	0.0024866981	0.1659898736	-1.5161323865
PTPRK	0.9150606484	5.1856798225	3.3284521844	0.0025198553	0.1659898736	-1.5278742789
OTTHUMG00000020883	0.7964120152	4.6539883584	3.3272181794	0.0025277646	0.1659898736	-1.530652135
SPINK5	0.830811915	4.1432817304	3.3214451608	0.0025650855	0.1670131537	-1.5436425997
LONRF2	0.665153255	6.8904858539	3.2907301489	0.0027727585	0.1776516676	-1.6126141792
TANC2	0.6998494638	6.78530176	3.2901630274	0.0027767413	0.1776516676	-1.6138853731
DTNA	0.705554144	4.8625324255	3.2871709106	0.0027978461	0.1776516676	-1.6205907623
POTEJ	1.1821020125	4.7567132596	3.2801321705	0.0028481048	0.1791543653	-1.6363554461
RNA5SP290	-0.8492879718	3.2154096206	-3.2762701274	0.0028760493	0.1791543653	-1.644999727
MAP7D2	0.918786506	4.1655398743	3.2714134494	0.0029115655	0.1791543653	-1.6558646603
ZNF334	0.8834999528	4.0056207049	3.2709759835	0.0029147853	0.1791543653	-1.6568430133
ATP10D	0.9095551281	5.6053420704	3.2648180575	0.0029604736	0.1792394378	-1.6706092473
FAM133DP	-0.6883073533	5.1738764919	-3.2645031927	0.0029628281	0.1792394378	-1.6713128653
SGCZ	1.0257986326	3.9204624509	3.2535677242	0.0030457309	0.1828152354	-1.6957334911
CNTNAP2	1.008892244	4.2974733654	3.2386223888	0.0031626499	0.1883615443	-1.7290564861
C22orf34	0.6687175485	4.5320537657	3.2209822453	0.0033062079	0.1950188967	-1.7683092674
RNA5SP338	-0.9659927314	3.806279542	-3.2165748395	0.0033430421	0.1950188967	-1.7781031592
SLC5A12	0.7398065988	5.5097803048	3.2131071328	0.0033722998	0.1950188967	-1.7858050956
TISP43	-0.80601172	4.9813685963	-3.2091262933	0.0034061902	0.1950188967	-1.7946425744
GK-IT1	0.6126740092	4.4902465363	3.2088412424	0.0034086295	0.1950188967	-1.7952752179
GLB1L3	0.7737475526	3.2210949583	3.206732359	0.003426728	0.1950188967	-1.7999549763
NRG1-IT1	0.9143296057	4.2369693886	3.1992382292	0.0034917924	0.1972605941	-1.8165748288
NTNG1	0.7836267564	4.7187712081	3.1895153026	0.0035779767	0.2001319636	-1.8381138025
SNORD114-28	1.6499978824	3.2803200091	3.1876528331	0.003594717	0.2001319636	-1.8422366143
CRYGC	-0.7187149152	4.0523343125	-3.1759718153	0.0037014355	0.2042329368	-1.8680713368
SBF2-AS1	0.5872484523	5.0540252628	3.1738072	0.0037215425	0.2042329368	-1.8728544654
MIR375	-0.6878700681	4.5428357255	-3.166861114	0.0037867742	0.2063389104	-1.8881939921
JPH3	0.7346488694	4.1493182651	3.1605317077	0.0038471681	0.2067150505	-1.9021594344
FSIP2	1.0057242678	5.1486123927	3.1577328116	0.003874168	0.2067150505	-1.9083312903
MST1	-0.7621039453	3.6449347019	-3.1577094899	0.0038743938	0.2067150505	-1.9083827074
PTER	0.6549364636	3.5091127936	3.1424261235	0.0040250679	0.2128495822	-1.9420433336
EGFLAM	0.8897550706	6.3652734563	3.1380323127	0.0040694138	0.2128495822	-1.9517076129
MIR657	-0.7376151444	4.016057676	-3.1377298872	0.0040724832	0.2128495822	-1.9523725925
PDGFRA	-0.6204387442	6.2432629945	-3.1225551534	0.0042293776	0.2195561359	-1.9857039544
MIR433	0.6896998651	5.0479700151	3.1149405436	0.0043102702	0.2207847317	-2.0024033226
POU3F2	-0.6287970794	6.5070873259	-3.1127860292	0.0043334256	0.2207847317	-2.0071251286
MIR557	0.6311113833	5.2847295406	3.1098299997	0.004365389	0.2207847317	-2.0136012243
DOCK10	-0.6288222422	7.2041342853	-3.1083274997	0.0043817218	0.2207847317	-2.0168918929
HMMR	-0.7528487715	7.0126147915	-3.1069517109	0.0043967284	0.2207847317	-2.0199044425
NSD1	0.7345370492	6.3561286649	3.1030299734	0.0044397755	0.2214986677	-2.0284886481
CNN2	-0.7767854662	7.3444221457	-3.0964244293	0.0045131939	0.2237088307	-2.0429367011
CHRNA9	-0.9399479437	4.4386262316	-3.0691135238	0.004829246	0.2378403657	-2.1025290891
ZNF704	0.578635882	8.0269827744	3.057766123	0.0049666833	0.2421141425	-2.1272202263
PLS3	-0.6476673393	6.3907346892	-3.0550791894	0.0049997692	0.2421141425	-2.1330608155
GPR22	1.3296654179	3.962620047	3.0526934243	0.0050293228	0.2421141425	-2.1382448246
LINC00491	0.697922687	5.9673923425	3.0516680983	0.0050420751	0.2421141425	-2.1404721881
SCARNA1	-0.592865373	5.1293361768	-3.042646147	0.0051556215	0.2446403557	-2.1600564693
LRRTM4	0.8487678381	4.8413849821	3.0418389729	0.0051658983	0.2446403557	-2.1618073566
GMPR	-0.772517516	3.8960222119	-3.0397071633	0.0051931339	0.2446403557	-2.1664305764
HOXD10	-0.6557682947	4.1362887668	-3.0373130082	0.0052238845	0.2446403557	-2.1716209913
OTTHUMG00000183288	-0.6967464089	3.8072470004	-3.0349895573	0.0052538928	0.2446403557	-2.17665635
EPHA5	0.612293997	3.6409073791	3.0306776473	0.0053100189	0.2457643083	-2.1859964382
FAM225A	0.6925651485	4.3172273944	3.0280021997	0.0053451307	0.2459080182	-2.1917887245
MAGEA9	0.6050620199	4.2661956139	3.020793138	0.0054408448	0.2488214897	-2.2073845645
PCDHB2	0.8459108996	3.8799160006	3.0131764593	0.0055437434	0.2520271043	-2.2238437261
ATP6V1C2	-0.690512853	3.5646109174	-3.007942769	0.00561552	0.2529001347	-2.2351423225
ZNF792	0.6365769234	4.5576048251	3.0047022155	0.0056604046	0.2529001347	-2.2421335529
LOC100505504	-0.6667086177	4.3241244002	-3.0026694813	0.0056887338	0.2529001347	-2.2465172337
PCDHB14	0.7431387815	5.8814492178	3.0022487267	0.0056946145	0.2529001347	-2.247424438
LRRC37BP1	0.9348013746	5.2480845295	2.9947126927	0.0058009269	0.2549703227	-2.2636631713
PARM1	1.0401718098	4.8847669792	2.9942439173	0.005807602	0.2549703227	-2.2646726678
FBN2	-0.7888495948	4.9461194757	-2.9887556714	0.0058862973	0.2569569446	-2.2764859973
SLCO6A1	0.6443143373	3.6353062485	2.98264947	0.005975045	0.2576654228	-2.2896175706
OPTN	0.6027985478	4.676245705	2.981548166	0.0059911862	0.2576654228	-2.2919846208
MYB	-0.5728445398	6.0804237528	-2.9807345071	0.0060031382	0.2576654228	-2.2937331679
DYNLL2	0.5804404023	8.1064098304	2.9659655797	0.0062240608	0.2656636597	-2.325432457
MIR548O2	0.8438326636	4.3910484147	2.9618304642	0.0062872872	0.2668797118	-2.33429454
C10orf128	-0.600068095	4.2481151102	-2.9512016368	0.0064526144	0.2697489101	-2.3570465356
SP140L	0.7673427289	3.4367924182	2.9506782287	0.0064608615	0.2697489101	-2.3581659334
CHGB	0.8530325112	8.499177653	2.949305033	0.0064825459	0.2697489101	-2.3611022967
H19	1.0000682525	7.6635139988	2.9465244064	0.0065266671	0.2697489101	-2.3670462306
SNORD114-1	1.320799752	4.0128164631	2.9454248344	0.0065441929	0.2697489101	-2.3693959624
HIST2H2BC	0.5898466483	7.8870635572	2.9425748653	0.006589826	0.2697489101	-2.3754842532
SLC10A4	0.6132935628	6.5257808728	2.9386999005	0.0066523557	0.2697489101	-2.3837576734
FAM84B	0.7747954971	3.4062576547	2.9371290907	0.0066778636	0.2697489101	-2.3871100111
LOC349160	0.7286687737	3.4845510382	2.934626413	0.0067186955	0.2697489101	-2.3924493105
NPTX2	0.6846187945	5.097572242	2.9339050646	0.0067305085	0.2697489101	-2.3939878534
THSD7B	1.1515408197	3.8564948026	2.9330727605	0.0067441629	0.2697489101	-2.3957628242
CARF	-0.5564002976	5.606406175	-2.9260283494	0.0068607872	0.2697489101	-2.4107759927
PCDHB9	0.7066466985	5.0211736309	2.9252627962	0.006873576	0.2697489101	-2.4124065015
GSTO2	0.6001512267	3.5801459545	2.9250605451	0.0068769584	0.2697489101	-2.4128372303
SLITRK1	0.7073953717	4.318783155	2.9247874055	0.0068815289	0.2697489101	-2.4134189056
MIR431	0.6866216617	3.3434769933	2.9189519663	0.0069798643	0.2722147069	-2.4258397052
WLS	-0.6584387394	5.4130771045	-2.9131596958	0.0070787882	0.2733147088	-2.4381566977
POU4F1	-0.6079794096	4.935436565	-2.9101191962	0.0071312459	0.2733147088	-2.4446174071
CD320	-0.5955027229	6.8885298176	-2.9094114184	0.0071435099	0.2733147088	-2.4461208806
RNU4-5P	-0.5511141691	5.0746099819	-2.9090162858	0.0071503653	0.2733147088	-2.4469601502
TMOD1	0.8734350977	7.0132186467	2.8978097361	0.0073474076	0.2788658279	-2.4707398421
TRAJ11	-0.5770836466	4.101929139	-2.8966446947	0.0073681847	0.2788658279	-2.473209412
TAB3-AS1	0.6996613099	3.5855648944	2.8859723575	0.0075611185	0.2847650641	-2.495809069
ZNF671	-0.7162999395	3.8651130085	-2.8838274498	0.0076004665	0.2848506542	-2.5003461333
OTTHUMG00000156136	0.8188449426	3.7864554953	2.879366655	0.0076829204	0.2856961506	-2.509776575
MMP2	0.7620360778	5.364471639	2.878588123	0.0076973973	0.2856961506	-2.5114217052
ABCG1	0.863712509	4.4863052659	2.8728062748	0.0078057215	0.2883238383	-2.5236325099
DDX25	0.7298326716	4.4932986324	2.8700870693	0.0078571633	0.2888353375	-2.5293710272
ZNF790-AS1	0.7298396595	4.1355655029	2.8677273237	0.0079020644	0.2891026698	-2.5343487543
BNC2	0.9811228202	3.7016844445	2.8645773739	0.0079623795	0.289356398	-2.540990175
ZNF784	-0.5417382291	3.7270695808	-2.8634369479	0.0079843234	0.289356398	-2.5433937725
HMOX1	-0.6013869951	5.2816141964	-2.8579020744	0.0080916386	0.2918688228	-2.5550524279
CHRM2	0.6241442719	4.7936485006	2.8483528031	0.0082799986	0.2958292891	-2.5751403268
GTSF1	0.692923225	3.2126148701	2.847477909	0.0082974615	0.2958292891	-2.5769790628
PPAP2C	0.722257467	3.9244228936	2.8465035799	0.0083169499	0.2958292891	-2.5790264423
BUB1	-0.5681881127	7.5589743021	-2.8432926232	0.0083814817	0.2967508004	-2.5857711886
GARNL3	0.5837766015	5.483657251	2.8344192687	0.0085622789	0.2996195741	-2.6043899545
HTR1E	0.7999504831	5.0812189258	2.8341761373	0.0085672841	0.2996195741	-2.6048996955
PDLIM1	0.7565915494	3.621661957	2.8326359596	0.0085990556	0.2996195741	-2.6081282627
OR2B6	0.5917428073	3.1918380482	2.8306642376	0.0086398914	0.2996195741	-2.6122601412
C9orf170	-0.5432767501	3.5336942418	-2.8298169019	0.0086574965	0.2996195741	-2.6140353406
SYT17	0.5444388911	5.5820465228	2.8213460569	0.0088353645	0.304272193	-2.6317671427
CACNA2D2	0.568346799	5.7127560614	2.8196616973	0.0088711403	0.304272193	-2.6352897257
GNG5P2	-0.7273188795	6.8614446407	-2.8151157647	0.0089683789	0.3054637966	-2.6447914657
RRN3P2	1.0089637632	3.7532645338	2.8143248637	0.0089853987	0.3054637966	-2.6464437732
LIN28B	-0.6520992152	8.2057278093	-2.8115079883	0.009046264	0.3061781788	-2.652326696
DSCR9	-0.5572856754	3.5947144738	-2.8078637596	0.0091255828	0.3075081264	-2.6599330064
MARCH11	0.787937445	5.329418766	2.8030578994	0.0092311872	0.3078497485	-2.6699561095
LOC100288524	-0.5728797412	4.1475806334	-2.8030541906	0.0092312691	0.3078497485	-2.6699638414
C6orf211	-0.631646653	7.0735585992	-2.8019394965	0.0092559276	0.3078497485	-2.6722873775
C1orf85	0.6158868206	3.5892905475	2.7928224924	0.0094599485	0.3132792417	-2.6912734214
CPEB2	0.6365887207	4.3215846505	2.7906707642	0.0095087136	0.3135426891	-2.6957496773
TPM2	0.8558342984	4.3122305132	2.7863342488	0.0096077128	0.3154532357	-2.7047654991
TTK	-0.5886102845	8.3213539104	-2.7817515703	0.0097133851	0.3175656911	-2.7142851496
POTEB2	0.6973375041	3.2783577005	2.7766384967	0.0098325777	0.3201004016	-2.7248969154
OTTHUMG00000164547	1.0952858414	4.3268785701	2.7657142183	0.0100918607	0.3246282548	-2.7475349868
MYO16	-0.5793571776	3.9572345275	-2.7628340687	0.0101612825	0.3246282548	-2.7534956042
OTTHUMG00000164860	0.8280165107	4.9074488042	2.7608016102	0.0102105417	0.3246282548	-2.7576999066
FKBP1B	-0.5940204255	4.5733875537	-2.7600840534	0.0102279862	0.3246282548	-2.7591838393
PKN3	-0.5922550794	5.459511643	-2.7597408247	0.0102363402	0.3246282548	-2.7598935761
RNA5SP409	0.7671322805	3.8036552681	2.7593032584	0.0102469998	0.3246282548	-2.760798319
NNAT	1.1948589341	7.6744101516	2.757222883	0.0102978224	0.3246282548	-2.7650988101
PDXDC2P	0.6163118531	5.4695929625	2.7540803052	0.0103750434	0.3246282548	-2.771591795
MIR1229	-0.7577219483	4.1359667134	-2.7525603313	0.0104125877	0.3246282548	-2.7747308541
AGAP1-IT1	0.5643064462	4.9248376016	2.7523359705	0.0104181404	0.3246282548	-2.7751941273
NEK3	-0.507292511	6.1179900992	-2.7515675804	0.0104371782	0.3246282548	-2.7767805922
HIST1H2BG	0.7199062087	6.2366189223	2.7468429106	0.0105549572	0.3246282548	-2.7865302541
FLRT3	0.7855082513	6.0428243088	2.7461749479	0.0105717089	0.3246282548	-2.7879079189
PTPRR	1.1268111854	4.6137654194	2.7433178653	0.0106436428	0.3246282548	-2.7937985995
MED4-AS1	-0.6987301107	4.0887233004	-2.742522439	0.0106637512	0.3246282548	-2.7954380129
PRICKLE1	0.5937878293	5.4599089751	2.7416928228	0.0106847618	0.3246282548	-2.797147623
SCN3B	0.5898673497	6.7618047229	2.7414878804	0.0106899582	0.3246282548	-2.7975699101
LOC440910	0.5493471549	4.0730831914	2.7330230752	0.0109066661	0.329905179	-2.8149970237
LOC284373	0.5919353327	4.7696633464	2.7279813164	0.0110376913	0.3312004951	-2.8253631261
TRIB3	0.6311924557	4.7167407161	2.7265850952	0.0110742364	0.3312004951	-2.8282320058
RASA4	0.5573980897	7.4167827456	2.7264105152	0.0110788139	0.3312004951	-2.8285906678
TSPAN7	0.5468204155	5.6744727899	2.7236495765	0.0111514418	0.3320795645	-2.8342611722
ADAMTS16	0.6068429517	3.8039487437	2.7180979752	0.0112988325	0.3351696136	-2.845653849
TMCC2	-0.5180106048	3.6786983247	-2.7073282306	0.01158998	0.3424839092	-2.8677190181
EMC10	0.6277390539	4.2230436552	2.7015429143	0.0117492654	0.3450493864	-2.8795523897
ZNF385A	-0.5774265345	5.4621085859	-2.697174551	0.0118708936	0.3450493864	-2.8884783634
TPT1	-0.6287397868	6.5474678534	-2.6968402874	0.0118802489	0.3450493864	-2.889161047
MIR1226	-0.8011345855	3.6426171786	-2.6960494271	0.0119024107	0.3450493864	-2.8907760772
HIST1H1C	-0.5366921687	8.3382013303	-2.695743003	0.0119110078	0.3450493864	-2.8914017619
BICD2	0.4952644622	6.6059235394	2.6932632116	0.0119807957	0.3450493864	-2.8964637954
APBA3	-0.588804513	3.7784889778	-2.6928956096	0.0119911735	0.3450493864	-2.8972139698
KIAA1324L	0.5032503028	6.9279870421	2.6912663722	0.0120372699	0.3450833769	-2.9005381192
ACOX1	0.5112634344	6.5753936272	2.6759293096	0.0124794027	0.3564284412	-2.9317763102
IQCA1	-0.6243559423	3.9609368655	-2.6696603884	0.0126644544	0.3602311457	-2.9445163683
SNORA14B	0.5482247073	7.1506336382	2.665835547	0.0127786154	0.3602311457	-2.9522813048
C1orf51	-0.56623191	5.7842064617	-2.664389706	0.0128220195	0.3602311457	-2.9552149466
MFAP2	0.5052112352	3.5823170811	2.6631181016	0.0128603069	0.3602311457	-2.9577943288
BDH2	-0.6985225484	4.4942177762	-2.6585611786	0.0129983919	0.3602311457	-2.9670321859
SEL1L3	0.648832867	3.8844367497	2.6582766331	0.01300706	0.3602311457	-2.9676087288
SNORA60	0.7934100274	7.10131992	2.6579416563	0.0130172713	0.3602311457	-2.9682874107
SYN3	0.6182120693	3.8423818395	2.6556267008	0.0130880445	0.3602311457	-2.9729763397
RNPS1	-0.630540367	6.990182901	-2.6539644606	0.0131390841	0.3602311457	-2.9763417933
DUSP4	0.59772561	4.822644689	2.6538388158	0.0131429496	0.3602311457	-2.9765961322
MIR4316	-0.565132187	4.8359405473	-2.6484421198	0.0133099859	0.3602311457	-2.9875141513
MTFR2	-0.5731824216	4.2362522455	-2.6480139453	0.013323323	0.3602311457	-2.9883798563
NPY2R	0.6279425992	4.1243801573	2.6462399126	0.013378715	0.3602311457	-2.9919658521
SLC17A9	0.5990568304	5.0040269734	2.6455928421	0.0133989723	0.3602311457	-2.9932734932
ICAM2	-0.5201091586	5.2695651295	-2.64279281	0.0134869612	0.3602311457	-2.9989299105
FNBP1	0.4933976281	7.382030361	2.6419423097	0.013513794	0.3602311457	-3.0006473635
